ID,N_VICTIMAS,FECHA,AAAA,MM,DD,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,VICTIMA,ACUSADO,ROL_VICTIMA,SEXO_VICTIMA,EDAD_VICTIMA,CALLE,CRUCE,LATITUD,LONGITUD,DIA_SEMANA
2017-0138,1,2017-11-19,2017,11,19,10,AV. LAFUENTE Y AV. EVA PERON,AVENIDA,MOTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,MASCULINO,25,LAFUENTE AV.,"PERON, EVA AV.",-58.46258582,-34.64385704,Sunday
2017-0139,1,2017-11-19,2017,11,19,22,AV. CNEL. ROCA Y AV. ESCALADA,AVENIDA,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,15,"ROCA, CNEL. AV.",ESCALADA AV.,-58.45064148,-34.68003614,Sunday
2017-0140,1,2017-11-19,2017,11,19,23,AU ARTURO FRONDIZI PKM 3100,AUTOPISTA,MOTO,PASAJEROS,CONDUCTOR,MASCULINO,24,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,,,,Sunday
2017-0141,1,2017-11-23,2017,11,23,19,AV. LA PLATA Y AV. PEDRO GOYENA,AVENIDA,PEATON,PASAJEROS,PEATON,FEMENINO,22,LA PLATA AV.,"GOYENA, PEDRO AV.",-58.42717783,-34.62513374,Thursday
2017-0143,1,2017-11-25,2017,11,25,21,TRELLES Y GRAL. CESAR DIAZ,CALLE,AUTO,PASAJEROS,CONDUCTOR,MASCULINO,50,"TRELLES, MANUEL R.","DIAZ, CESAR, GRAL.",-58.46442001,-34.60724519,Saturday
2017-0144,1,2017-11-26,2017,11,26,6,AV. CNEL. ROCA Y COLECTORA AV. GRAL. PAZ,GRAL PAZ,AUTO,OBJETO FIJO,PASAJERO_ACOMPAÑANTE,FEMENINO,50,"ROCA, CNEL. AV.","PAZ, GRAL. AV.",-58.47064556,-34.69843756,Sunday
2017-0145,1,2017-11-26,2017,11,26,17,MAZA Y DON BOSCO,CALLE,MOTO,AUTO,CONDUCTOR,MASCULINO,58,MAZA,DON BOSCO,-58.41677733,-34.61223119,Sunday
2017-0147,1,2017-11-28,2017,11,28,11,AV. GRAL. PAZ Y AV. EVA PERON,GRAL PAZ,MOTO,AUTO,CONDUCTOR,MASCULINO,49,"PAZ, GRAL. AV.","PERON, EVA AV.",-58.5025179,-34.67450313,Tuesday
2017-0148,1,2017-11-29,2017,11,29,10,AV. SAN JUAN Y LA RIOJA,AVENIDA,PEATON,PASAJEROS,PEATON,FEMENINO,82,SAN JUAN AV.,LA RIOJA,-58.40708125,-34.62438894,Wednesday
2017-0149,1,2017-11-30,2017,11,30,12,AV. PASEO COLON Y MEXICO,AVENIDA,PEATON,PASAJEROS,PEATON,MASCULINO,13,PASEO COLON AV.,MEXICO,-58.36947198,-34.61477051,Thursday
